Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Cases_28_Days,Deaths_28_Days
Czechia,2021-10-26 01:22:13,49.8175,15.473,1731287,30625,,,16166.681389510228,,,1.7689152636160268,203,CZE,40094,162
Denmark,2021-10-26 01:22:13,56.2639,9.5018,380186,2701,,,6563.7547579047205,,,0.7104417311526463,208,DNK,20036,57
Diamond Princess,2021-10-26 01:22:13,,,712,13,,,,,,1.8258426966292132,9999,,0,0
Djibouti,2021-10-26 01:22:13,11.8251,42.5903,13458,181,,,1362.1429916133773,,,1.3449249517015902,262,DJI,1198,19
Dominica,2021-10-26 01:22:13,15.415,-61.371,4574,30,,,6353.571974274561,,,0.6558810668998688,212,DMA,1215,15
Dominican Republic,2021-10-26 01:22:13,18.7357,-70.1627,376736,4110,,,3472.892090490476,,,1.0909496305104902,214,DOM,19123,69
Ecuador,2021-10-26 01:22:13,-1.8312,-78.1834,515659,32953,,,2922.729957274985,,,6.390463465196961,218,ECU,7748,232
Egypt,2021-10-26 01:22:13,26.820553000000004,30.802498,325508,18333,,,318.0826686407698,,,5.6321196406847145,818,EGY,22994,1098
El Salvador,2021-10-26 01:22:13,13.7942,-88.8965,112290,3575,,,1731.213695042753,,,3.183720723127616,222,SLV,10266,379
Equatorial Guinea,2021-10-26 01:22:13,1.6508,10.2679,13166,163,,,938.4277094908356,,,1.2380373689807078,226,GNQ,1360,21
Eritrea,2021-10-26 01:22:13,15.1794,39.7823,6795,45,,,191.6012933580756,,,0.6622516556291391,232,ERI,98,3
Estonia,2021-10-26 01:22:13,58.5953,25.0136,183320,1469,,,13819.420311050031,,,0.8013310058913375,233,EST,28503,117
Eswatini,2021-10-26 01:22:13,-26.5225,31.4659,46387,1242,,,3998.314031464517,,,2.677474292366396,748,SWZ,614,29
Ethiopia,2021-10-26 01:22:13,9.145,40.4897,362672,6377,,,315.4668552736391,,,1.7583381126748137,231,ETH,20621,957
Fiji,2021-10-26 01:22:13,-17.7134,178.065,52028,673,,,5803.820428269921,,,1.2935342507880372,242,FJI,1222,83
