Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Umbria,Italy,2021-07-29 22:30:58,43.10675841,12.38824698,58076,1424,55205,1447.0,,6584.468518109103,,,2.4519595013430675,38010,ITA,,
Valle d'Aosta,Italy,2021-07-29 22:30:58,45.73750286,7.320149366,11755,473,11227,55.0,,9354.16103003199,,,4.02381965121225,38002,ITA,,
Veneto,Italy,2021-07-29 22:30:58,45.43490485,12.33845213,434908,11641,412102,11165.0,,8865.08240970889,,,2.6766580518178555,38005,ITA,,
Aichi,Japan,2021-07-29 22:30:58,35.035551,137.211621,53632,1008,50872,1752.0,,710.1470173282387,,,1.8794749403341289,39201,JPN,,
Akita,Japan,2021-07-29 22:30:58,39.748678999999996,140.408228,1006,20,955,31.0,,104.08798849444898,,,1.9880715705765408,39202,JPN,,
Aomori,Japan,2021-07-29 22:30:58,40.781541,140.828896,2661,31,2543,87.0,,213.49983271433626,,,1.1649755730928222,39203,JPN,,
Chiba,Japan,2021-07-29 22:30:58,35.510141,140.198917,47618,732,43115,3771.0,,760.746028921066,,,1.5372338191440211,39204,JPN,,
Ehime,Japan,2021-07-29 22:30:58,33.624835,132.856842,2899,77,2714,108.0,,216.47009628775066,,,2.6560883063125216,39205,JPN,,
Fukui,Japan,2021-07-29 22:30:58,35.846614,136.22465400000002,1548,36,1378,134.0,,201.57903578027884,,,2.3255813953488373,39206,JPN,,
Fukuoka,Japan,2021-07-29 22:30:58,33.526032,130.666949,38434,536,35751,2147.0,,753.0646030050087,,,1.3945985325493053,39207,JPN,,
Fukushima,Japan,2021-07-29 22:30:58,37.378867,140.223295,5588,162,5010,416.0,,302.78745436920457,,,2.8990694345025054,39208,JPN,,
Gifu,Japan,2021-07-29 22:30:58,35.778671,137.055925,9537,188,9379,-30.0,,480.06958668309017,,,1.9712697913389954,39209,JPN,,
Gunma,Japan,2021-07-29 22:30:58,36.504478999999996,138.985605,8556,156,8013,387.0,,440.4732977220591,,,1.8232819074333801,39210,JPN,,
Hiroshima,Japan,2021-07-29 22:30:58,34.605309000000005,132.788719,12025,179,11506,340.0,,428.8245713448188,,,1.4885654885654886,39211,JPN,,
Hokkaido,Japan,2021-07-29 22:30:58,43.385711,142.55231799999999,43890,1424,40965,1501.0,,835.9921974061575,,,3.2444748234221916,39212,JPN,,
Hyogo,Japan,2021-07-29 22:30:58,35.039913,134.828057,43555,1316,40506,1733.0,,796.8072825862255,,,3.0214671105498794,39213,JPN,,
Ibaraki,Japan,2021-07-29 22:30:58,36.303588,140.319591,12078,167,11001,910.0,,422.2623655432791,,,1.3826792515317106,39214,JPN,,
Ishikawa,Japan,2021-07-29 22:30:58,36.769464,136.771027,4911,118,4092,701.0,,431.67971843688167,,,2.4027692934229283,39215,JPN,,
Iwate,Japan,2021-07-29 22:30:58,39.593287,141.361777,1962,47,1797,118.0,,159.9261828994731,,,2.3955147808358817,39216,JPN,,
Kagawa,Japan,2021-07-29 22:30:58,34.217292,133.969047,2215,32,2103,80.0,,231.61049284412456,,,1.4446952595936795,39217,JPN,,
Kagoshima,Japan,2021-07-29 22:30:58,31.009484000000004,130.430665,3924,41,3767,116.0,,244.90208597411302,,,1.0448521916411824,39218,JPN,,
Kanagawa,Japan,2021-07-29 22:30:58,35.415312,139.338983,80421,985,73192,6244.0,,874.3059019371908,,,1.2248044664950697,39219,JPN,,
Kochi,Japan,2021-07-29 22:30:58,33.422519,133.367307,2060,29,1930,101.0,,295.1166785334134,,,1.4077669902912622,39220,JPN,,
Kumamoto,Japan,2021-07-29 22:30:58,32.608154,130.74523100000002,6842,122,6435,285.0,,391.51574732184804,,,1.7831043554516224,39221,JPN,,
Kyoto,Japan,2021-07-29 22:30:58,35.253815,135.443341,17981,249,16847,885.0,,696.1401215738396,,,1.3847950614537567,39222,JPN,,
Mie,Japan,2021-07-29 22:30:58,34.508018,136.376013,5685,115,5489,81.0,,319.2238452631898,,,2.0228671943711523,39223,JPN,,
Miyagi,Japan,2021-07-29 22:30:58,38.446859,140.927086,9838,91,9438,309.0,,426.5586756649533,,,0.924984752998577,39224,JPN,,
Miyazaki,Japan,2021-07-29 22:30:58,32.193203999999994,131.299374,3199,27,3086,86.0,,298.0524568597253,,,0.8440137542982182,39225,JPN,,
Nagano,Japan,2021-07-29 22:30:58,36.132134,138.045528,5218,94,5071,53.0,,254.6869127631431,,,1.8014564967420468,39226,JPN,,
Nagasaki,Japan,2021-07-29 22:30:58,33.235712,129.608033,3406,69,3198,139.0,,256.76127985622577,,,2.0258367586611863,39227,JPN,,
Nara,Japan,2021-07-29 22:30:58,34.317451,135.871644,8810,134,8466,210.0,,662.3447605973282,,,1.5209988649262203,39228,JPN,,
Niigata,Japan,2021-07-29 22:30:58,37.521819,138.918647,3924,54,3530,340.0,,176.50980205172402,,,1.3761467889908257,39229,JPN,,
Oita,Japan,2021-07-29 22:30:58,33.200697,131.43323999999998,3624,64,3461,99.0,,319.1731091371229,,,1.7660044150110374,39230,JPN,,
Okayama,Japan,2021-07-29 22:30:58,34.89246,133.826252,8043,127,7518,398.0,,425.64879291019304,,,1.5790128061668531,39231,JPN,,
Okinawa,Japan,2021-07-29 22:30:58,25.768923,126.668016,24022,236,21595,2191.0,,1653.0779648326966,,,0.9824327699608693,39232,JPN,,
Osaka,Japan,2021-07-29 22:30:58,34.620965000000005,135.507481,112220,2721,103193,6306.0,,1273.8719019752052,,,2.424701479237213,39233,JPN,,
Port Quarantine,Japan,2021-07-29 22:30:58,,,3476,4,3287,185.0,,,,,0.11507479861910241,39248,JPN,,
Saga,Japan,2021-07-29 22:30:58,33.286977,130.115738,2712,25,2609,78.0,,332.87877541852265,,,0.9218289085545722,39234,JPN,,
Saitama,Japan,2021-07-29 22:30:58,35.997101,139.347635,55111,849,48058,6204.0,,749.8408436923828,,,1.5405272994502004,39235,JPN,,
Shiga,Japan,2021-07-29 22:30:58,35.215827000000004,136.13806399999999,5925,93,5596,236.0,,419.04093729379474,,,1.5696202531645569,39236,JPN,,
Shimane,Japan,2021-07-29 22:30:58,35.07076,132.55406399999998,711,2,584,125.0,,105.43548860673897,,,0.2812939521800281,39237,JPN,,
Shizuoka,Japan,2021-07-29 22:30:58,34.916975,138.40778400000002,10607,155,9561,891.0,,291.1189374693978,,,1.4612991420759875,39238,JPN,,
Tochigi,Japan,2021-07-29 22:30:58,36.689912,139.819213,8046,84,7315,647.0,,416.031106675836,,,1.0439970171513795,39239,JPN,,
Tokushima,Japan,2021-07-29 22:30:58,33.919178,134.242091,1762,63,1638,61.0,,242.04061392049474,,,3.575482406356413,39240,JPN,,
Tokyo,Japan,2021-07-29 22:30:58,35.711343,139.446921,210678,2288,188116,20274.0,,1513.4192961930046,,,1.0860175243736887,39241,JPN,,
Tottori,Japan,2021-07-29 22:30:58,35.359069,133.863619,713,2,518,193.0,,128.33943530648466,,,0.2805049088359046,39242,JPN,,
Toyama,Japan,2021-07-29 22:30:58,36.637464,137.26934599999998,2231,38,2046,147.0,,213.7993027325295,,,1.703272075302555,39243,JPN,,
Unknown,Japan,2021-07-29 22:30:58,,,8,0,8,0.0,,,,,0.0,39249,JPN,,
Wakayama,Japan,2021-07-29 22:30:58,33.911879,135.505446,2900,49,2650,201.0,,313.53622370485215,,,1.6896551724137931,39244,JPN,,
Yamagata,Japan,2021-07-29 22:30:58,38.448396,140.102154,2149,48,2033,68.0,,199.412433908094,,,2.2335970218706374,39245,JPN,,
Yamaguchi,Japan,2021-07-29 22:30:58,34.201190000000004,131.573293,3256,80,3111,65.0,,239.70505088578966,,,2.457002457002457,39246,JPN,,
Yamanashi,Japan,2021-07-29 22:30:58,35.612364,138.61148899999998,2356,21,2170,165.0,,290.52131065063946,,,0.8913412563667232,39247,JPN,,
Aguascalientes,Mexico,2021-07-29 22:30:58,21.8853,-102.2916,27672,2488,,25184.0,,1928.8529835114855,,,8.991037872217404,48401,MEX,,
Baja California,Mexico,2021-07-29 22:30:58,30.8406,-115.2838,52356,8885,,43471.0,,1440.3824292931683,,,16.970356788142716,48402,MEX,,
Baja California Sur,Mexico,2021-07-29 22:30:58,26.0444,-111.6661,48256,1933,,46323.0,,5996.709365384711,,,4.005719496021221,48403,MEX,,
Campeche,Mexico,2021-07-29 22:30:58,19.8301,-90.5349,14181,1444,,12737.0,,1417.2255718221857,,,10.182638741978703,48404,MEX,,
Chiapas,Mexico,2021-07-29 22:30:58,16.7569,-93.1292,13776,1740,,12036.0,,240.40345059923737,,,12.630662020905923,48405,MEX,,
Chihuahua,Mexico,2021-07-29 22:30:58,28.633000000000003,-106.0691,59828,7640,,52188.0,,1573.805197808121,,,12.769940496088788,48406,MEX,,
Ciudad de Mexico,Mexico,2021-07-29 22:30:58,19.4326,-99.1332,770536,35531,,735005.0,,8543.81118227849,,,4.611205706157792,48407,MEX,,
Coahuila,Mexico,2021-07-29 22:30:58,27.0587,-101.7068,72253,6527,,65726.0,,2244.774320226674,,,9.033534939725687,48408,MEX,,
Colima,Mexico,2021-07-29 22:30:58,19.1223,-104.0072,15014,1254,,13760.0,,1912.2387611077077,,,8.35220460903157,48409,MEX,,
Durango,Mexico,2021-07-29 22:30:58,24.5593,-104.6588,36777,2537,,34240.0,,1967.7409689480342,,,6.898333197378797,48410,MEX,,
Guanajuato,Mexico,2021-07-29 22:30:58,21.019000000000002,-101.2574,137691,11159,,126532.0,,2210.776029896398,,,8.104378644936851,48411,MEX,,
Guerrero,Mexico,2021-07-29 22:30:58,17.4392,-99.5451,49591,4762,,44829.0,,1356.039078513599,,,9.602548849589644,48412,MEX,,
Hidalgo,Mexico,2021-07-29 22:30:58,20.0911,-98.7624,43403,6396,,37007.0,,1406.259821268307,,,14.736308550100224,48413,MEX,,
Jalisco,Mexico,2021-07-29 22:30:58,20.6595,-103.3494,102355,13012,,89343.0,,1217.107449701196,,,12.712617849640955,48414,MEX,,
Mexico,Mexico,2021-07-29 22:30:58,19.4969,-99.7233,286125,38145,,247980.0,,1641.774430378149,,,13.331585845347313,48415,MEX,,
Michoacan,Mexico,2021-07-29 22:30:58,19.5665,-101.7068,52631,6143,,46488.0,,1090.7072800788992,,,11.67182839011229,48416,MEX,,
Morelos,Mexico,2021-07-29 22:30:58,18.6813,-99.1013,36535,3652,,32883.0,,1787.3758963786743,,,9.995894347885589,48417,MEX,,
Nayarit,Mexico,2021-07-29 22:30:58,21.7514,-104.8455,17462,1972,,15490.0,,1355.1445748817875,,,11.293093574619173,48418,MEX,,
Nuevo Leon,Mexico,2021-07-29 22:30:58,25.5922,-99.9962,139341,10043,,129298.0,,2483.729053378758,,,7.2074981520155585,48419,MEX,,
Oaxaca,Mexico,2021-07-29 22:30:58,17.0732,-96.7266,53945,4129,,49816.0,,1301.8894471537142,,,7.654092130874038,48420,MEX,,
Puebla,Mexico,2021-07-29 22:30:58,19.0414,-98.2063,90124,12455,,77669.0,,1364.5948770003745,,,13.819848209134081,48421,MEX,,
Queretaro,Mexico,2021-07-29 22:30:58,20.5888,-100.3899,73491,4547,,68944.0,,3223.802737014709,,,6.187152168292716,48422,MEX,,
Quintana Roo,Mexico,2021-07-29 22:30:58,19.1817,-88.4791,42315,3277,,39038.0,,2455.521775890914,,,7.7442987120406475,48423,MEX,,
San Luis Potosi,Mexico,2021-07-29 22:30:58,22.1565,-100.9855,69550,5499,,64051.0,,2426.606916196057,,,7.906542056074766,48424,MEX,,
Sinaloa,Mexico,2021-07-29 22:30:58,25.1721,-107.4795,55636,6925,,48711.0,,1762.4879857723668,,,12.446976777625997,48425,MEX,,
Sonora,Mexico,2021-07-29 22:30:58,29.2972,-110.3309,87198,6988,,80210.0,,2835.942492792085,,,8.013945273974175,48426,MEX,,
Tabasco,Mexico,2021-07-29 22:30:58,17.8409,-92.6189,85928,4414,,81514.0,,3340.529264425004,,,5.136858765478075,48427,MEX,,
Tamaulipas,Mexico,2021-07-29 22:30:58,24.2669,-98.8363,71890,5487,,66403.0,,1969.2642473761862,,,7.632494088190291,48428,MEX,,
Tlaxcala,Mexico,2021-07-29 22:30:58,19.3139,-98.2404,20943,2612,,18331.0,,1517.59659886769,,,12.471947667478394,48429,MEX,,
Unknown,Mexico,2021-07-29 22:30:58,,,0,0,2181291,-2181291.0,,,,,,48433,MEX,,
Veracruz,Mexico,2021-07-29 22:30:58,19.1738,-96.1342,77730,10607,,67123.0,,910.2020618131769,,,13.645953943136497,48430,MEX,,
Yucatan,Mexico,2021-07-29 22:30:58,20.7099,-89.0943,53627,4498,,49129.0,,2373.8235348798503,,,8.387565964905738,48431,MEX,,
Zacatecas,Mexico,2021-07-29 22:30:58,22.7709,-102.5832,32714,2915,,29799.0,,1963.1234750297942,,,8.910558170813719,48432,MEX,,
Aruba,Netherlands,2021-07-29 22:30:58,12.5211,-69.9683,11584,110,11125,349.0,,10849.89603431804,,,0.949585635359116,533,ABW,,
"Bonaire, Sint Eustatius and Saba",Netherlands,2021-07-29 22:30:58,12.1784,-68.2385,1703,17,1661,25.0,,6494.794248884482,,,0.9982384028185555,535,BES,,
Curacao,Netherlands,2021-07-29 22:30:58,12.1696,-68.99,13493,126,12715,652.0,,8222.4253503961,,,0.9338175350181576,531,CUW,,
Drenthe,Netherlands,2021-07-29 22:30:58,52.862485,6.618435000000001,36680,353,,36327.0,,7429.884014406035,,,0.9623773173391494,52801,NLD,,
Flevoland,Netherlands,2021-07-29 22:30:58,52.550383,5.515162,39752,244,,39508.0,,9397.16940766534,,,0.6138055946870598,52802,NLD,,
Friesland,Netherlands,2021-07-29 22:30:58,53.087337,5.7925,47830,481,,47349.0,,7358.948361199279,,,1.005644992682417,52803,NLD,,
Gelderland,Netherlands,2021-07-29 22:30:58,52.061738,5.939114,206080,2033,,204047.0,,9879.421961770933,,,0.9865100931677019,52804,NLD,,
Groningen,Netherlands,2021-07-29 22:30:58,53.217921999999994,6.741514,47128,264,,46864.0,,8044.160268730392,,,0.5601765404854864,52805,NLD,,
Limburg,Netherlands,2021-07-29 22:30:58,51.209227,5.93387,123465,1658,,121807.0,,11051.279044683992,,,1.3428906977685984,52806,NLD,,
Noord-Brabant,Netherlands,2021-07-29 22:30:58,51.561174,5.1849419999999995,297668,3144,,294524.0,,11614.24995756851,,,1.0562102745340447,52807,NLD,,
Noord-Holland,Netherlands,2021-07-29 22:30:58,52.60090600000001,4.9186879999999995,318313,2643,,315670.0,,11054.350245717438,,,0.8303148159201792,52808,NLD,,
Overijssel,Netherlands,2021-07-29 22:30:58,52.444557999999994,6.441722,120198,1145,,119053.0,,10340.44903415846,,,0.9525948851062414,52809,NLD,,
Sint Maarten,Netherlands,2021-07-29 22:30:58,18.0425,-63.0548,2743,34,2644,65.0,,6396.623291824076,,,1.2395187750637988,534,SXM,,
Unknown,Netherlands,2021-07-29 22:30:58,,,4999,15,,4984.0,,,,,0.30006001200240046,52813,NLD,,
Utrecht,Netherlands,2021-07-29 22:30:58,52.084251,5.163824,143968,1284,,142684.0,,10626.246462666275,,,0.8918648588575239,52810,NLD,,
Zeeland,Netherlands,2021-07-29 22:30:58,51.47936,3.8615589999999997,31879,250,,31629.0,,8312.906792389853,,,0.7842153141566548,52811,NLD,,
Zuid-Holland,Netherlands,2021-07-29 22:30:58,51.937835,4.462114,441239,4301,,436938.0,,11897.416234708911,,,0.9747551780327668,52812,NLD,,
Cook Islands,New Zealand,2021-07-29 22:30:58,-21.2367,-159.7777,1,0,,1.0,,5.727704908643107,,,0.0,184,COK,,
Azad Jammu and Kashmir,Pakistan,2021-07-29 22:30:58,34.027401,73.947253,23631,620,20656,2355.0,,584.1498643138841,,,2.6236722948669122,58601,PAK,,
Balochistan,Pakistan,2021-07-29 22:30:58,28.328491999999997,65.898403,30019,326,28463,1230.0,,243.17893575779414,,,1.0859788800426398,58602,PAK,,
Gilgit-Baltistan,Pakistan,2021-07-29 22:30:58,35.792146,74.982138,7935,133,7016,786.0,,782.8655543102495,,,1.6761184625078764,58603,PAK,,
Islamabad,Pakistan,2021-07-29 22:30:58,33.665087,73.121219,86602,797,82992,2813.0,,4315.91789380097,,,0.9203020715456918,58604,PAK,,
Khyber Pakhtunkhwa,Pakistan,2021-07-29 22:30:58,34.485332,72.09169,142799,4435,135687,2677.0,,467.8349583340582,,,3.1057640459667084,58605,PAK,,
Punjab,Pakistan,2021-07-29 22:30:58,30.811346,72.13913199999999,354904,10995,331704,12205.0,,322.6035106101908,,,3.0980208732502312,58606,PAK,,
Sindh,Pakistan,2021-07-29 22:30:58,26.009446,68.77680699999999,374434,5903,330836,37695.0,,781.927079349266,,,1.5765128166779727,58607,PAK,,
Amazonas,Peru,2021-07-29 22:30:58,-5.077253,-78.050172,30702,1209,,29493.0,,7193.533270852859,,,3.9378542114520227,60401,PER,,
Ancash,Peru,2021-07-29 22:30:58,-9.407125,-77.67179499999999,74676,6544,,68132.0,,6325.258343215314,,,8.763190315496278,60402,PER,,
Apurimac,Peru,2021-07-29 22:30:58,-14.027713,-72.975378,25442,1460,,23982.0,,5907.127931274669,,,5.738542567408222,60403,PER,,
Arequipa,Peru,2021-07-29 22:30:58,-15.843523999999999,-72.475539,108873,9436,,99437.0,,7270.802724722853,,,8.66697895713354,60404,PER,,
Ayacucho,Peru,2021-07-29 22:30:58,-14.091648000000001,-74.08344,31828,2046,,29782.0,,4763.244537563603,,,6.4283021239160485,60405,PER,,
Cajamarca,Peru,2021-07-29 22:30:58,-6.4302839999999994,-78.74559599999999,63832,4012,,59820.0,,4391.002270069478,,,6.285248778042361,60406,PER,,
Callao,Peru,2021-07-29 22:30:58,-11.954609,-77.136042,98324,9824,,88500.0,,8702.009027347553,,,9.991456816240186,60407,PER,,
Cusco,Peru,2021-07-29 22:30:58,-13.191068,-72.153609,70203,4602,,65601.0,,5173.015989978631,,,6.555275415580531,60408,PER,,
Huancavelica,Peru,2021-07-29 22:30:58,-13.023888000000001,-75.00277,15619,1126,,14493.0,,4275.663837941418,,,7.209168320635124,60409,PER,,
Huanuco,Peru,2021-07-29 22:30:58,-9.421676,-76.040642,34632,2645,,31987.0,,4555.0440615546495,,,7.6374451374451375,60410,PER,,
Ica,Peru,2021-07-29 22:30:58,-14.235097,-75.574821,56236,8154,,48082.0,,5766.611977030353,,,14.499608791521446,60411,PER,,
Junin,Peru,2021-07-29 22:30:58,-11.541783,-74.876968,81506,6849,,74657.0,,5986.485493940507,,,8.403062351237946,60412,PER,,
La Libertad,Peru,2021-07-29 22:30:58,-7.92139,-78.370238,85503,10031,,75472.0,,4239.5378817929395,,,11.731752102265418,60413,PER,,
Lambayeque,Peru,2021-07-29 22:30:58,-6.3530489999999995,-79.824113,58712,8466,,50246.0,,4479.096734818431,,,14.419539446791116,60414,PER,,
Lima,Peru,2021-07-29 22:30:58,-11.766533,-76.60449799999999,923276,87343,,835933.0,,8686.794938138026,,,9.460118101196175,60415,PER,,
Loreto,Peru,2021-07-29 22:30:58,-4.124847,-74.424115,43848,4126,,39722.0,,4267.029972752043,,,9.409779237365445,60416,PER,,
Madre de Dios,Peru,2021-07-29 22:30:58,-11.972699,-70.53171999999999,13650,749,,12901.0,,7853.8550057537395,,,5.487179487179487,60417,PER,,
Moquegua,Peru,2021-07-29 22:30:58,-16.860271,-70.839046,28195,1459,,26736.0,,14631.551634665282,,,5.174676361056925,60418,PER,,
Pasco,Peru,2021-07-29 22:30:58,-10.39655,-75.307635,15156,1015,,14141.0,,5574.108127988231,,,6.697017682765901,60419,PER,,
Piura,Peru,2021-07-29 22:30:58,-5.133361,-80.335861,84479,11710,,72769.0,,4124.951171875,,,13.861433018856758,60420,PER,,
Puno,Peru,2021-07-29 22:30:58,-14.995826999999998,-69.922726,37052,3910,,33142.0,,2992.891760904685,,,10.552736694375472,60421,PER,,
San Martin,Peru,2021-07-29 22:30:58,-7.039531,-76.729127,47389,2912,,44477.0,,5267.785682525567,,,6.144885943995442,60422,PER,,
Tacna,Peru,2021-07-29 22:30:58,-17.644160999999997,-70.27756,28980,1924,,27056.0,,7811.320754716981,,,6.639061421670117,60423,PER,,
Tumbes,Peru,2021-07-29 22:30:58,-3.857496,-80.54525500000001,17902,1539,,16363.0,,7118.091451292246,,,8.596804826276394,60424,PER,,
Ucayali,Peru,2021-07-29 22:30:58,-9.621718,-73.444929,31858,3047,,28811.0,,5407.910371753523,,,9.56431665515726,60425,PER,,
Unknown,Peru,2021-07-29 22:30:58,,,0,0,2060255,-2060255.0,,,,,,60426,PER,,
Adygea Republic,Russia,2021-07-29 22:30:58,44.6939006,40.1520421,16182,286,15060,836.0,,3569.222896668549,,,1.7673958719564948,64301,RUS,,
Altai Krai,Russia,2021-07-29 22:30:58,52.693224300000004,82.69314240000001,61535,2894,48833,9808.0,,2618.421500544662,,,4.703014544568132,64302,RUS,,
Altai Republic,Russia,2021-07-29 22:30:58,50.7114101,86.8572186,19327,271,17892,1164.0,,8863.034994474074,,,1.4021834738966212,64303,RUS,,
Amur Oblast,Russia,2021-07-29 22:30:58,52.8032368,128.437295,27439,339,24666,2434.0,,3436.6451910263218,,,1.2354677648602355,64304,RUS,,
Arkhangelsk Oblast,Russia,2021-07-29 22:30:58,63.5589686,43.1221646,73509,1083,69043,3383.0,,6364.261299293177,,,1.4732889850222421,64305,RUS,,
Astrakhan Oblast,Russia,2021-07-29 22:30:58,47.1878186,47.608851,42807,1084,36354,5369.0,,4207.0182818123385,,,2.5322961197934917,64306,RUS,,
Bashkortostan Republic,Russia,2021-07-29 22:30:58,54.8573563,57.1439682,47738,755,43900,3083.0,,1174.8598981171183,,,1.581549289873895,64307,RUS,,
Belgorod Oblast,Russia,2021-07-29 22:30:58,50.7080119,37.5837615,44306,882,41254,2170.0,,2858.680307327812,,,1.990701033720038,64308,RUS,,
Bryansk Oblast,Russia,2021-07-29 22:30:58,52.887331499999995,33.415853000000006,53587,782,48610,4195.0,,4425.086417469459,,,1.4593091608039264,64309,RUS,,
Buryatia Republic,Russia,2021-07-29 22:30:58,52.718242599999996,109.492143,51966,1681,46895,3390.0,,5278.356463259425,,,3.234807374052265,64310,RUS,,
Chechen Republic,Russia,2021-07-29 22:30:58,43.397614700000005,45.6985005,15712,309,12940,2463.0,,1093.4034618411795,,,1.9666496945010183,64311,RUS,,
Chelyabinsk Oblast,Russia,2021-07-29 22:30:58,54.4223954,61.1865846,72831,2116,65589,5126.0,,2085.034336892033,,,2.905356235668877,64312,RUS,,
Chukotka Autonomous Okrug,Russia,2021-07-29 22:30:58,66.0006475,169.4900869,1123,9,841,273.0,,2275.6747993839667,,,0.8014247551202137,64313,RUS,,
Chuvashia Republic,Russia,2021-07-29 22:30:58,55.4259922,47.0849429,29142,1707,26546,889.0,,2367.1186410389914,,,5.8575252213300395,64314,RUS,,
Dagestan Republic,Russia,2021-07-29 22:30:58,43.057491600000006,47.1332224,41314,1713,36861,2740.0,,1348.4187559258914,,,4.146294234399961,64315,RUS,,
Ingushetia Republic,Russia,2021-07-29 22:30:58,43.11542075,45.01713552,17522,213,16226,1083.0,,3590.2574158424563,,,1.215614655861203,64316,RUS,,
Irkutsk Oblast,Russia,2021-07-29 22:30:58,56.6370122,104.71922099999999,84629,3655,72358,8616.0,,3520.055569535749,,,4.318850512235758,64317,RUS,,
Ivanovo Oblast,Russia,2021-07-29 22:30:58,56.9167446,41.435213700000006,41163,1383,38005,1775.0,,4056.8828931469693,,,3.3598134246775015,64318,RUS,,
Jewish Autonomous Okrug,Russia,2021-07-29 22:30:58,48.57527615,132.66307460000002,5656,179,4467,1010.0,,3491.0563284654413,,,3.164780763790665,64319,RUS,,
Kabardino-Balkarian Republic,Russia,2021-07-29 22:30:58,43.480604799999995,43.5978976,26830,590,24726,1514.0,,3098.7678846144963,,,2.19903093551994,64320,RUS,,
Kaliningrad Oblast,Russia,2021-07-29 22:30:58,54.7293041,21.1489473,42644,572,39649,2423.0,,4287.55709587482,,,1.341337585592346,64321,RUS,,
Kalmykia Republic,Russia,2021-07-29 22:30:58,46.2313018,45.3275745,24584,473,21654,2457.0,,8926.230787943925,,,1.9240156199153922,64322,RUS,,
Kaluga Oblast,Russia,2021-07-29 22:30:58,54.438277299999996,35.5272854,40870,463,38271,2136.0,,4038.3140853865793,,,1.1328602887203327,64323,RUS,,
Kamchatka Krai,Russia,2021-07-29 22:30:58,57.191488199999995,160.03838190000002,16670,242,14470,1958.0,,5282.722297397934,,,1.4517096580683864,64324,RUS,,
Karachay-Cherkess Republic,Russia,2021-07-29 22:30:58,43.7368326,41.7267991,22268,292,20658,1318.0,,4775.415232519488,,,1.3112987246272678,64325,RUS,,
Karelia Republic,Russia,2021-07-29 22:30:58,62.61940309999999,33.4920267,55488,715,52015,2758.0,,8913.964053694554,,,1.2885668973471742,64326,RUS,,
Kemerovo Oblast,Russia,2021-07-29 22:30:58,54.53357809999999,87.342861,45462,967,42782,1713.0,,1686.9786635902121,,,2.1270511636091682,64327,RUS,,
Khabarovsk Krai,Russia,2021-07-29 22:30:58,51.6312684,136.121524,64818,621,58319,5878.0,,4879.763788656495,,,0.9580672035545682,64328,RUS,,
Khakassia Republic,Russia,2021-07-29 22:30:58,53.72258845,91.44293627,29936,748,26129,3059.0,,5569.353671446086,,,2.498663816141101,64329,RUS,,
Khanty-Mansi Autonomous Okrug,Russia,2021-07-29 22:30:58,61.0259025,69.0982628,64938,930,61233,2775.0,,4238.100614589201,,,1.4321352674859096,64330,RUS,,
Kirov Oblast,Russia,2021-07-29 22:30:58,57.9665589,49.4074599,50054,430,47128,2496.0,,3900.601447276343,,,0.8590722020218164,64331,RUS,,
Komi Republic,Russia,2021-07-29 22:30:58,63.9881421,54.3326073,54619,1198,47522,5899.0,,6495.511212751509,,,2.193375931452425,64332,RUS,,
Kostroma Oblast,Russia,2021-07-29 22:30:58,58.424756,44.253327299999995,26906,597,22364,3945.0,,4182.340469188154,,,2.2188359473723334,64333,RUS,,
Krasnodar Krai,Russia,2021-07-29 22:30:58,45.768401399999995,39.0261044,58524,4137,47050,7337.0,,1044.4335780648246,,,7.068894812384663,64334,RUS,,
Krasnoyarsk Krai,Russia,2021-07-29 22:30:58,63.3233807,97.09799740000001,90033,4395,75326,10312.0,,3129.9528558521006,,,4.881543434074173,64335,RUS,,
Kurgan Oblast,Russia,2021-07-29 22:30:58,55.7655302,64.5632681,25506,485,23303,1718.0,,3016.544515497252,,,1.9015133694032778,64336,RUS,,
Kursk Oblast,Russia,2021-07-29 22:30:58,51.6568453,36.4852695,46072,1079,43180,1813.0,,4131.139838437928,,,2.3419864559819414,64337,RUS,,
Leningrad Oblast,Russia,2021-07-29 22:30:58,60.185329599999996,32.3925325,55609,2079,47033,6497.0,,3065.8567351925444,,,3.7386034634681438,64338,RUS,,
Lipetsk Oblast,Russia,2021-07-29 22:30:58,52.693517799999995,39.112266399999996,39239,1122,33798,4319.0,,3411.4906872798756,,,2.8594000866484874,64339,RUS,,
Magadan Oblast,Russia,2021-07-29 22:30:58,62.48858785,153.9903764,9436,153,8670,613.0,,6548.639401489337,,,1.6214497668503602,64340,RUS,,
Mari El Republic,Russia,2021-07-29 22:30:58,56.576750399999995,47.881751200000004,15960,373,14663,924.0,,2339.0338734899237,,,2.337092731829574,64341,RUS,,
Mordovia Republic,Russia,2021-07-29 22:30:58,54.4419829,44.466114399999995,23725,401,20954,2370.0,,2946.9999602512125,,,1.690200210748156,64342,RUS,,
Moscow,Russia,2021-07-29 22:30:58,55.7504461,37.6174943,1499131,25477,1351297,122357.0,,11986.84552665069,,,1.6994512154041241,64343,RUS,,
Moscow Oblast,Russia,2021-07-29 22:30:58,55.50431579999999,38.0353929,382192,7147,311101,63944.0,,5093.594424383128,,,1.8700025118265164,64344,RUS,,
